Code_18_est,A_h_ha,n_h,w0
100,23032372.32,10,2303237.232
211,116808190.03999999,1620,72103.82101234568
212,10581256.67,304,34806.7653618421
213,803414.79,21,38257.84714285714
221,3834256.9099999997,103,37225.79524271844
222,4256633.92,92,46267.76
223,5206092.06,111,46901.730270270265
231,38107776.46,1110,34331.33014414414
241,462372.94,10,46237.294
242,20253072.31,559,36230.89858676207
243,17762759.57,600,29604.599283333333
244,1156438.84,75,15419.184533333335
311,6089403.97,467,13039.408929336189
312,9049362.27,429,21094.084545454545
313,3448155.19,205,16820.269219512196
321,19327648.36,556,34761.95748201439
322,15214683.02,465,32719.748430107527
323,6705648.24,210,31931.658285714286
324,12343387.22,543,22731.83650092081
331,719187.9299999999,14,51370.56642857142
332,8740677.12,222,39372.41945945946
333,22293125.77,586,38042.87674061433
334,162269.47,5,32453.894
335,1554570.8699999999,49,31725.936122448977
411,1183871.49,479,2471.5479958246347
412,9693494.72,480,20194.78066666667
421,574119.68,482,1191.1196680497926
422,73561.46,205,358.8363902439025
423,576892.3300000001,481,1199.3603534303536
511,1227653.35,33,37201.61666666667
512,12621434.51,271,46573.559077490776
521,521161.97000000003,12,43430.16416666667
522,296602.05,8,37075.25625
523,5367764.01,121,44361.68603305785
