region,ref_class,mu
Boreal,0,0.5336416165250848
Boreal,1,0.0139491295308065
Boreal,2,0.08976854719093966
Boreal,3,0.007132730424643706
Boreal,4,0.00017313019390581717
Boreal,5,0.004863714151111552
Boreal,6,0.15655254709281327
Boreal,7,0.1939185848906948
Central,0,0.9140587161080276
Central,1,0.01865093083095272
Central,2,0.004302184498331952
Central,3,0.0011820862529554148
Central,4,0.00024850701084388023
Central,5,0.00030537131292383656
Central,6,0.032139028935056775
Central,7,0.02911317505090776
SE_Europe,0,0.963593721853785
SE_Europe,1,0.014432888573600637
SE_Europe,2,0.00030435630661402555
SE_Europe,3,0.003182954104113903
SE_Europe,4,0.0012749459953396056
SE_Europe,5,0.00026737967914438503
SE_Europe,6,0.002636940712701024
SE_Europe,7,0.014306812774701442
SW_Europe,0,0.9365063967872084
SW_Europe,1,0.002344887079699302
SW_Europe,2,0.00023752969121140142
SW_Europe,3,0.0013833864587387312
SW_Europe,4,0.001654609200252049
SW_Europe,5,0.00043205447595843355
SW_Europe,6,0.04903543059190656
SW_Europe,7,0.00840570571502515
Western,0,0.8418346369762797
Western,1,0.004707484842197975
Western,2,0.0822134808521274
Western,3,0.002997905214520036
Western,4,0.0012810024153168897
Western,5,0.005159504175544246
Western,6,0.038854139035526675
Western,7,0.022951846488487092
