country,disturbed_ha_mean,disturbed_ha_ci_lo,disturbed_ha_ci_hi,target_ha_mean,target_ha_ci_lo,target_ha_ci_hi,peatbog_disturbed_ha_mean,peatbog_disturbed_ha_ci_lo,peatbog_disturbed_ha_ci_hi,peatbog_target_ha_mean,peatbog_target_ha_ci_lo,peatbog_target_ha_ci_hi
AD,150.8265754890442,21.390687465667725,658.3922592163076,45.247974473834034,6.417206335067749,197.5176898956296,1.7638498579471488e-12,1.2820604495568377e-12,2.3716287289067548e-12,5.291549783526146e-13,3.846181402880622e-13,7.114886506559905e-13
AL,6141.456896972656,1215.6436889648437,19762.60073242185,1842.4371441726685,364.69312515258787,5928.7803222656175,1.7638498579471488e-12,1.2820604495568377e-12,2.3716287289067548e-12,5.291549783526146e-13,3.846181402880622e-13,7.114886506559905e-13
AT,195062.02127734374,133122.2171875,282437.4124999999,58518.60875195313,39936.66669921875,84731.22382812497,2337.848553144932,69.83476219177246,13609.29780273436,701.3545934942961,20.950428676605224,4082.7895812988236
BA,16868.254036071776,2802.8756408691406,55959.6708984374,5060.476413009644,840.8627044677735,16787.90205078122,22.058514845371246,7.035585868358612,52.70448226928706,6.617554724574089,2.110675811767578,15.811345434188828
BE,39421.43057495117,14311.133447265625,91220.23046874991,11826.429646728515,4293.34013671875,27366.069531249974,5033.661657043457,1338.8505004882813,13333.170458984367,1510.0985572433472,401.6551742553711,3999.9512390136692
BG,63927.06793652344,16891.0044921875,173871.74687499995,19178.121147460937,5067.301733398437,52161.52568359373,84.50000402474403,16.211926078796388,258.5722908020017,25.350002235651015,4.863578200340271,77.57168731689445
CH,73885.30892089843,40343.08671875,131238.2109374999,22165.59355810547,12102.926586914062,39371.46484374998,1507.3941366832257,46.10285291671753,8573.199316406248,452.2182591316104,13.830856084823608,2571.9597961425775
CY,2500.2142389984133,470.8635856628418,8565.367993164062,750.0643017692566,141.2590847015381,2569.6105407714845,95.20521425938607,12.316055393218994,340.14797439575165,28.561565397024154,3.694816714525223,102.04439697265614
CZ,74979.8112734375,29116.646630859374,162170.29023437496,22493.94428173828,8734.993994140625,48651.09013671874,36618.43568286133,9748.3822265625,103635.73437499988,10985.5311489563,2924.514715576172,31090.721874999967
DE,351915.8895546875,207142.6125,554923.621875,105574.7711640625,62142.7853515625,166477.08671874998,106297.32447949219,42971.40439453125,218866.5390624998,31889.19859423828,12891.421899414063,65659.96640624994
DK,481171.3902109375,331211.425,672614.4984374999,144351.4228828125,99363.4337890625,201784.35585937498,138945.93717578126,71217.95859375,240279.26406249992,41683.782794433595,21365.38759765625,72083.78085937498
EE,128451.215078125,77906.7021484375,203610.19375,38535.36605859375,23372.01142578125,61083.061230468746,41630.08426708984,21363.1849609375,73420.45839843745,12489.02578173828,6408.955590820313,22026.13867187498
EL,29506.421083740235,8974.193237304688,78723.5599609374,8851.926677734375,2692.2579711914063,23617.068749999973,117.35764462709427,30.461034536361694,315.95002975463865,35.20729483819008,9.138311123847961,94.78500900268554
ES,412566.6182109375,297577.03671875,552866.9296874997,123769.990609375,89273.1111328125,165860.0914062499,71.51284987258911,39.55797004699707,116.25874729156493,21.453855812072753,11.867391777038574,34.87762498855591
FI,114893.22000390624,75083.028515625,172400.45234374993,34467.967385253905,22524.908935546875,51720.13652343748,30647.015799316407,19910.018701171874,45209.51298828125,9194.10511743164,5973.005615234375,13562.854296874999
FR,579610.976609375,411946.54375,794329.9390625,173883.29976953124,123583.96484375,238298.99101562498,33804.973890625,9103.04072265625,89403.55820312498,10141.492582550049,2730.9122680664063,26821.06938476562
HR,48768.34609472656,14859.347216796876,118139.68496093748,14630.504438476562,4457.804455566406,35441.90703125,5.943013975277543,0.8441805392503738,19.933414602279647,1.7829042640067636,0.25325416773557663,5.980024480819698
HU,297529.68596875,166200.3734375,493512.8421874999,89258.9093203125,49860.11435546875,148053.852734375,2646.3178481624127,68.17582817077637,15895.1675537109,793.8953881277442,20.452748823165894,4768.550366210927
IE,967609.555625,766417.16875,1212991.796875,290282.87871875,229925.15390625,363897.5578125,856216.02871875,664411.3171875,1096968.0124999997,256864.819234375,199323.4046875,329090.4039062499
IS,278513.2697421875,204485.212890625,376265.79609375,83553.98429492187,61345.5677734375,112879.74355468749,30800.911354980468,13802.002880859376,59651.26992187498,9240.273774780273,4140.600866699218,17895.38139648437
IT,232253.68608203126,143000.45859375,358802.1757812499,69676.10857421876,42900.13916015625,107640.65898437497,117.17449057722092,38.27340793609619,288.0308029174804,35.15234861409664,11.482022380828857,86.40924396514892
LI,446.0852295036316,136.61417350769042,1185.205715942382,133.82557426261903,40.98425207138062,355.5617385864256,33.070155371464786,0.9292504653334618,210.9963722228999,9.921046997493132,0.2787751518189907,63.29891319274888
LT,80187.42827539063,40703.1,146237.53007812495,24056.2294230957,12210.930200195313,43871.26054687499,33986.61466088867,10755.218530273438,77919.87558593736,10195.984807922363,3226.565753173828,23375.96269531246
LU,14926.44510913086,5528.439270019531,32631.351904296862,4477.933710235596,1658.5318298339844,9789.405590820308,9918.704393951415,2704.0222290039064,25156.072656249984,2975.6114349822997,811.2067169189453,7546.821899414058
LV,136616.12232617187,80168.721875,222398.95078124997,40984.83834667969,24050.616943359375,66719.68828124998,45135.01437597656,23468.54296875,78888.04765624998,13540.504861572266,7040.56318359375,23666.41508789062
ME,1264.9515268325806,185.9638744354248,4738.269812011714,379.4854737415314,55.78916606903076,1421.4809936523425,1.6110612665712833,0.35248302221298217,4.616540944576259,0.4833183992803097,0.10574491266161204,1.384962353110312
MK,5333.636736953736,777.6859527587891,20316.641015624955,1600.0910867347718,233.3057949066162,6094.992504882798,30.672319908738135,4.633561623096466,103.96022243499742,9.20169634193182,1.3900685101747512,31.18806786537166
NL,85878.20582470704,37149.8013671875,177930.8746093749,25763.462806640626,11144.9404296875,53379.26396484372,50812.157069091794,14993.179125976563,129560.13281249994,15243.647737304687,4497.953747558594,38868.03984374998
NO,472335.102203125,371030.725,594239.6765625,141700.53647265624,111309.219140625,178271.90625,126579.06111132812,84907.779296875,182508.50195312497,37973.719859375,25472.3353515625,54752.551367187494
PL,347802.2803515625,194787.887109375,569744.7999999999,104340.68839648437,58436.36923828125,170923.45234375,3437.504514597893,110.12323741912842,16666.1008300781,1031.2513978748323,33.03697423934936,4999.83063964843
PT,100151.66624804688,62324.1845703125,153656.44062499996,30045.501070800783,18697.25654296875,46096.93300781249,47.87277057361603,21.378327226638795,93.79919509887695,14.361831746816636,6.413498365879059,28.139759683609007
RO,669014.930875,471637.103125,927573.6093749995,200704.48737109374,141491.137109375,278272.0890624999,39930.670348999025,6474.000317382813,140717.7527343749,11979.20157989502,1942.2001922607421,42215.32734374997
RS,57264.369227539064,15000.645581054687,148529.0562499999,17179.31144555664,4500.193872070313,44558.718457031224,100.73492778873444,24.42996048927307,273.1589317321776,30.220479551911353,7.328988337516785,81.94767951965328
SE,331330.0831875,230168.594140625,464790.54062499997,99399.02897851562,69050.5798828125,139437.165234375,305383.598328125,204442.005859375,438649.9429687497,91615.08315625,61332.6041015625,131594.9890624999
SI,11467.073764343262,3793.358917236328,27419.90068359374,3440.122268005371,1138.0076751708984,8225.970410156246,225.35403609669208,5.7310511589050295,1353.3186920166013,67.6062134328112,1.7193154662847518,405.99562606811514
SK,26201.22625915527,7691.328466796875,78314.9498046875,7860.3682034301755,2307.3986389160154,23494.484960937498,1182.056715814829,32.95929899215698,6490.466162109352,354.61702852773664,9.887790274620055,1947.1398986816337
TR,791628.1924375,508061.2921875,1177127.3874999997,237488.46725,152418.4,353138.21640624997,2703.9114469115734,44.82723779678345,17290.272216796868,811.1734694880843,13.448172283172607,5187.08176269531
UK,1345645.73884375,1055354.578125,1676558.659374999,403693.737390625,316606.3734375,502967.62265624973,780067.04890625,561021.6390625,1036462.1562499999,234020.124046875,168306.498046875,310938.646875
