ref_class,class_label,disturbance,disturbance_label,eu_share_mean,eu_share_ci_lo,eu_share_ci_hi
1,Inland marshes,0,least disturbed,0.3923768103122711,0.31122201681137085,0.4712312199175358
1,Inland marshes,1,intermediately disturbed,0.11337918788194656,0.07817965298891068,0.15779893137514586
1,Inland marshes,2,most disturbed,0.4942440092563629,0.40470070019364357,0.5854910999536515
2,Peatbogs,0,least disturbed,0.7926707863807678,0.7499280259013176,0.832746334373951
2,Peatbogs,1,intermediately disturbed,0.06802046298980713,0.04947050428017974,0.09205607827752821
2,Peatbogs,2,most disturbed,0.13930875062942505,0.10169181916862727,0.18331826031208034
3,Salt marshes,0,least disturbed,0.641007125377655,0.4785978227853775,0.7709457993507384
3,Salt marshes,1,intermediately disturbed,0.14188294112682343,0.07613627947866916,0.2347120083868503
3,Salt marshes,2,most disturbed,0.21710991859436035,0.10120516363531351,0.39710160270333283
4,Salines,0,least disturbed,0.9604204893112183,0.9235367581248284,0.9833435639739037
4,Salines,1,intermediately disturbed,0.03957955911755562,0.01665645157918334,0.07646319810301064
4,Salines,2,most disturbed,4.238751804997838e-18,2.175481991805227e-18,7.375574750188004e-18
5,Intertidal flats,0,least disturbed,0.7593309283256531,0.6453909054398537,0.8562047645449636
5,Intertidal flats,1,intermediately disturbed,0.2406691312789917,0.143795220926404,0.35460912436246866
5,Intertidal flats,2,most disturbed,1.405195813041301e-18,1.0476844102632757e-18,1.8178342670773128e-18
6,Moors & heathland,0,least disturbed,0.8771207332611084,0.8503704383969307,0.9006316646933555
6,Moors & heathland,1,intermediately disturbed,0.05146317556500435,0.037549206800758836,0.0684455683454871
6,Moors & heathland,2,most disturbed,0.07141606509685516,0.05256150430068374,0.09400125443935393
