ref_class,class_label,distur,distur_label,est_ha,var_ha2,se_ha,ci_lo_ha,ci_hi_ha,n_points_total,n_points_in_cell
-999,Wetlands total,-999,all,41418574.72033651,632488009134.1299,795291.1474008308,39859804.071430884,42977345.36924214,10938,2714
1,Inland marshes,0,least disturbed,1553528.3832164025,28168100766.891335,167833.55077841657,1224574.623690706,1882482.142742099,10938,272
1,Inland marshes,1,intermediately disturbed,449299.54256124137,6207808587.723502,78789.6477192499,294871.8330315116,603727.2520909712,10938,119
1,Inland marshes,2,most disturbed,1971922.8270778724,93307134277.61455,305462.1650509512,1373216.9835780081,2570628.6705777366,10938,47
2,Peatbogs,0,least disturbed,10259076.169854242,164475741288.7283,405556.0889553112,9464186.235501833,11053966.104206651,10938,476
2,Peatbogs,1,intermediately disturbed,886712.4714497136,22797052676.627594,150986.92882705972,590778.0909486765,1182646.8519507507,10938,41
2,Peatbogs,2,most disturbed,1804716.2844845634,98269028210.50781,313478.9119071773,1190297.6171464957,2419134.951822631,10938,38
3,Salt marshes,0,least disturbed,706236.5307680758,15092678275.615242,122852.2619881915,465446.0972712205,947026.9642649312,10938,303
3,Salt marshes,1,intermediately disturbed,155113.23252953112,2095727006.4347582,45779.111027135055,65386.17491634641,244840.29014271582,10938,90
3,Salt marshes,2,most disturbed,243917.7460226696,11086380569.434942,105291.88273288184,37545.655866221176,450289.836179118,10938,6
4,Salines,0,least disturbed,251497.93702243958,6825945204.207395,82619.27864734353,89564.15087364629,413431.72317123285,10938,176
4,Salines,1,intermediately disturbed,9558.967140977633,5166961.454552556,2273.0951265955755,5103.700692850305,14014.23358910496,10938,22
4,Salines,2,most disturbed,0.0,0.0,0.0,0.0,0.0,10938,0
5,Intertidal flats,0,least disturbed,551951.9938032724,8718208928.905054,93371.34961488484,368944.1485580981,734959.8390484466,10938,294
5,Intertidal flats,1,intermediately disturbed,173834.91940587212,2092782465.7962112,45746.939414524895,84170.91815340333,263498.9206583409,10938,109
5,Intertidal flats,2,most disturbed,0.0,0.0,0.0,0.0,0.0,10938,0
6,Moors & heathland,0,least disturbed,19650824.00895235,321579374342.7249,567079.6895875613,18539347.81736073,20762300.20054397,10938,636
6,Moors & heathland,1,intermediately disturbed,1155955.7728381502,34369282503.18734,185389.54259393204,792592.2693540433,1519319.276322257,10938,42
6,Moors & heathland,2,most disturbed,1594427.9332091294,62488215851.27977,249976.4305915255,1104474.1292497395,2084381.7371685193,10938,43
