CNTR_ID,fty_zero_ha
AD,26530.48
AL,1818558.77
AT,4518328.93
BA,2181704.63
BE,2234881.35
BG,6316558.6
CH,2737991.21
CY,724737.2
CZ,4812334.99
DE,23887969.16
DK,3953507.83
EE,2255916.74
EL,8678969.14
ES,34281413.76
FI,13342311.4
FR,37459417.08
HR,3259696.22
HU,6962985.54
IE,6392343.12
IS,10456944.68
IT,19102775.52
LI,8679.77
LT,4201329.37
LU,160240.59
LV,3086670.35
ME,647927.63
MK,1327207.75
NL,3403463.47
NO,21925477.1
PL,20326864.59
PT,6002193.08
RO,15438133.22
RS,5078381.49
SE,19459507.25
SI,744376.7
SK,2593447.01
TR,57952438.28
UK,22307613.27
